Subject,Age_in_Yrs,Handedness
100004,24,95
100206,27,65
100307,27,95
100408,33,55
100610,27,85
101006,35,90
101107,22,5
101208,35,100
101309,29,45
101410,29,75
101612,30,70
101915,35,-75
102008,24,80
102109,27,-25
102311,26,10
102513,30,50
102614,23,80
102715,26,95
102816,30,100
103010,25,70
103111,30,70
103212,34,45
103414,25,75
103515,28,100
103818,32,100
104012,26,100
104113,26,100
104416,31,65
104820,36,70
105014,29,100
105115,31,75
105216,27,75
105620,34,90
105923,33,35
106016,33,50
106218,28,70
106319,28,65
106521,29,90
106824,22,65
107018,26,75
107119,36,-75
107220,26,90
107321,25,65
107422,22,80
107523,23,100
107725,35,-40
108020,22,60
108121,27,80
108222,35,80
108323,27,80
108525,23,100
108828,32,100
109123,32,85
109325,31,75
109830,33,100
110007,33,-20
110411,31,40
110613,29,95
111009,27,90
111211,28,-15
111312,31,80
111413,28,95
111514,32,60
111716,32,40
112112,27,90
112314,30,65
112516,33,100
112819,29,45
112920,31,80
113215,26,50
113316,25,70
113417,30,55
113619,34,100
113821,26,90
113922,32,90
114116,30,75
114217,29,90
114318,22,100
114419,33,80
114621,29,50
114823,33,40
114924,28,40
115017,32,90
115219,33,50
115320,34,80
115724,23,100
115825,23,100
116120,34,-10
116221,25,10
116322,35,-60
116423,28,85
116524,27,60
116726,26,55
117021,30,65
117122,30,100
117324,24,80
117728,22,10
117930,33,80
118023,26,90
118124,34,90
118225,27,60
118528,29,90
118730,23,85
118831,22,70
118932,26,80
119025,29,90
119126,25,80
119732,33,90
119833,27,40
120010,26,85
120111,28,-45
120212,33,15
120414,26,35
120515,26,90
120717,35,85
120818,25,80
121315,29,85
121416,26,60
121618,32,55
121719,33,70
121820,31,90
121921,34,75
122317,31,95
122418,29,55
122519,35,90
122620,26,100
122822,35,60
123117,29,90
123420,28,-50
123521,22,100
123723,32,75
123824,23,100
123925,26,50
124220,33,30
124321,27,75
124422,31,45
124624,26,35
124826,32,35
125222,26,25
125424,33,90
125525,34,-100
126325,28,80
126426,34,100
126628,33,100
126931,35,70
127226,25,85
127327,23,60
127630,25,60
127731,31,-60
127832,35,100
127933,32,100
128026,30,100
128127,27,-30
128329,35,60
128632,32,100
128935,34,90
129028,30,90
129129,33,90
129331,30,80
129432,23,80
129533,35,80
129634,22,65
129937,29,100
130013,26,-90
130114,27,95
130316,27,70
130417,27,65
130518,32,80
130619,30,80
130720,34,90
130821,25,80
130922,31,95
131217,29,100
131419,28,20
131621,28,80
131722,28,65
131823,27,80
131924,22,30
132017,23,70
132118,26,100
132320,29,100
133019,26,95
133221,28,80
133625,30,95
133726,33,-100
133827,25,60
133928,27,100
134021,32,100
134223,29,100
134324,30,60
134425,27,60
134627,27,95
134728,29,40
134829,35,40
135124,31,95
135225,22,100
135427,25,70
135528,26,-90
135629,24,90
135730,23,50
135932,30,70
136126,27,-55
136227,31,-70
136328,26,85
136530,34,65
136631,25,100
136732,31,85
136833,33,65
137027,32,80
137128,31,85
137229,22,80
137431,35,90
137532,32,60
137633,23,100
137936,32,90
138130,33,95
138231,33,100
138332,29,85
138534,25,-60
138837,23,100
139233,34,100
139435,28,100
139637,35,95
139839,26,60
140117,27,80
140319,36,80
140420,28,60
140723,31,-65
140824,33,70
140925,25,-90
141119,27,80
141422,33,80
141624,25,80
141826,27,100
142424,30,65
142828,31,60
143224,27,45
143325,32,5
143426,29,70
143527,27,90
143830,26,95
144125,33,100
144226,31,90
144428,25,75
144731,30,100
144832,22,75
144933,27,80
145127,23,80
145531,31,-40
145632,27,80
145834,26,25
146129,24,80
146331,26,85
146432,34,70
146533,28,90
146634,27,100
146735,34,100
146836,28,80
146937,32,65
147030,29,80
147636,24,70
147737,34,-65
148032,31,70
148133,26,75
148234,27,-5
148335,31,95
148436,29,85
148840,23,95
148941,28,90
149236,23,65
149337,33,65
149539,24,85
149741,27,80
149842,32,75
150019,27,-85
150423,30,100
150524,26,100
150625,28,85
150726,25,65
150928,25,-75
151021,32,100
151223,26,55
151324,23,60
151425,26,80
151526,28,20
151627,30,-95
151728,31,55
151829,31,80
151930,31,75
152225,35,75
152427,31,90
152831,29,90
152932,25,100
153025,22,90
153126,29,70
153227,31,100
153429,34,90
153631,23,100
153732,26,80
153833,23,70
153934,30,75
154229,23,95
154330,29,95
154431,28,80
154532,28,80
154734,34,85
154835,35,-70
154936,27,85
155231,32,75
155635,28,95
155938,27,75
156031,30,100
156233,25,100
156334,27,100
156435,24,80
156536,22,80
156637,31,70
157235,34,85
157336,34,85
157437,29,90
157942,36,90
158035,30,90
158136,33,80
158338,24,85
158540,33,90
158843,29,75
159138,32,100
159239,32,60
159340,29,-85
159441,27,90
159744,31,100
159845,33,-95
159946,29,55
160123,32,70
160729,24,35
160830,28,85
160931,31,75
161327,30,80
161630,27,100
161731,35,80
161832,26,-50
162026,31,100
162228,24,35
162329,28,-100
162733,26,65
162834,28,15
162935,25,80
163129,28,85
163331,35,20
163432,34,65
163836,34,85
164030,32,60
164131,28,60
164636,24,-80
164939,29,100
165032,24,70
165234,23,80
165436,27,50
165638,27,80
165840,35,60
165941,28,95
166438,32,80
166640,22,-40
167036,30,85
167238,33,55
167440,30,100
167743,26,100
168038,28,60
168139,25,85
168240,26,80
168341,32,-30
168745,22,85
168947,28,100
169040,23,90
169141,25,80
169343,33,100
169444,29,95
169545,22,70
169747,29,100
169949,29,-25
170631,33,100
170934,28,-55
171128,36,100
171330,27,90
171431,29,85
171532,33,90
171633,28,50
171734,28,65
172029,27,100
172130,28,90
172332,30,100
172433,23,80
172534,23,60
172635,31,75
172938,32,100
173132,31,70
173233,30,-85
173334,28,80
173435,29,70
173536,35,95
173637,23,100
173738,32,40
173839,22,60
173940,27,100
174437,32,85
174841,23,80
175035,24,90
175136,22,55
175237,31,100
175338,22,40
175439,34,100
175540,32,80
175742,35,70
175944,29,75
176037,30,90
176239,33,80
176441,29,70
176542,28,80
176744,31,50
176845,26,100
177140,32,100
177241,27,60
177342,25,90
177645,29,65
177746,30,100
178142,26,100
178243,23,70
178647,35,100
178748,33,55
178849,24,65
178950,34,100
179043,27,100
179245,32,75
179346,27,100
179548,26,100
179952,27,-70
180129,27,100
180230,27,100
180432,34,90
180533,31,60
180735,35,100
180836,33,95
180937,36,65
181131,33,80
181232,26,100
181636,33,75
182032,31,70
182436,35,70
182739,30,80
182840,31,60
183034,33,80
183337,35,100
183741,35,75
184642,34,60
185038,31,50
185139,31,-80
185341,24,80
185442,22,75
185846,26,80
185947,29,70
186040,26,65
186141,31,-55
186242,28,80
186444,25,70
186545,34,100
186848,28,-80
186949,25,20
187143,28,50
187345,31,85
187547,32,100
187850,22,55
188145,32,65
188246,27,55
188347,28,100
188448,25,75
188549,23,80
188751,28,70
189349,26,90
189450,23,80
189551,34,100
189652,30,80
190031,27,95
190132,31,80
190940,34,90
191033,28,80
191235,24,75
191336,30,90
191437,35,70
191639,25,90
191841,26,40
191942,27,95
192035,30,-30
192136,22,70
192237,35,95
192439,34,100
192540,28,60
192641,34,-35
192843,28,75
193239,30,80
193441,28,100
193845,24,55
194140,30,100
194443,27,35
194645,27,85
194746,35,100
194847,34,95
194948,31,100
195041,31,80
195445,26,-40
195647,35,100
195849,25,80
195950,30,100
196144,31,80
196346,27,90
196548,22,100
196750,26,20
196851,28,80
196952,29,100
197348,30,100
197449,23,95
197550,28,100
197651,31,75
197954,31,90
198047,30,75
198249,27,55
198350,31,65
